#PARAMS:size=10179,delta_q=4,eq_steps=8000
Step,Cycle,Time,Average Temperature,Kinetic,Potential
8000,0,0,477.679,628.5,-37083.3
8100,1,15,479.804,631.297,-37080.8
8200,2,30,481.422,633.426,-37077.4
8300,3,45,483.856,636.628,-37075.4
8400,4,60,485.367,638.616,-37072.1
8500,5,75,486.798,640.499,-37068.5
8600,6,90,488.654,642.94,-37065.7
8700,7,105,491.721,646.975,-37064.5
8800,8,120,492.795,648.389,-37060.5
8900,9,135,495.145,651.48,-37058.3
9000,10,150,496.624,653.427,-37054.9
9100,11,165,497.643,654.767,-37050.7
9200,12,180,500.862,659.003,-37049.9
9300,13,195,501.631,660.014,-37045.4
9400,14,210,504.221,663.423,-37043.4
9500,15,225,507.204,667.347,-37042.5
9600,16,240,505.237,664.759,-37034
9700,17,255,509.385,670.217,-37034.5
9800,18,270,511.631,673.173,-37032.3
9900,19,285,510.368,671.51,-37024.7
10000,20,300,516.364,679.399,-37027.8
10100,21,315,514.772,677.304,-37019.9
10200,22,330,518.218,681.839,-37019.1
10300,23,345,520.401,684.711,-37017
10400,24,360,520.291,684.566,-37011
10500,25,375,524.7,690.368,-37011.9
10600,26,390,523.898,689.313,-37005.2
10700,27,405,527.634,694.228,-37005.1
10800,28,420,528.507,695.376,-37000.6
10900,29,435,530.79,698.38,-36998.3
11000,30,450,533.381,701.789,-36996.5
11100,31,465,534.367,703.087,-36992.2
11200,32,480,536.404,705.767,-36989.6
11300,33,495,538.081,707.973,-36986.4
11400,34,510,540.277,710.862,-36983.9
11500,35,525,541.418,712.364,-36980.2
11600,36,540,542.527,713.824,-36976.1
11700,37,555,546.609,719.194,-36976.5
11800,38,570,546.976,719.676,-36971.5
11900,39,585,547.304,720.108,-36966.6
12000,40,600,549.61,723.142,-36964.1
12100,41,615,553.221,727.893,-36963.8
12200,42,630,554.055,728.991,-36959.4
12300,43,645,554.312,729.329,-36954.1
12400,44,660,557.672,733.75,-36953.7
12500,45,675,557.482,733.5,-36947.8
12600,46,690,561.969,739.404,-36948.6
12700,47,705,561.525,738.82,-36942.3
12800,48,720,563.355,741.227,-36939.4
12900,49,735,567.981,747.313,-36940.6
13000,50,750,565.362,743.868,-36931.1
13100,51,765,571.885,752.45,-36934.8
13200,52,780,570.896,751.15,-36927.8
13300,53,795,572.483,753.237,-36924.6
13400,54,810,575.533,757.251,-36923.3
13500,55,825,574.981,756.524,-36916.9
13600,56,840,580.095,763.253,-36918.8
13700,57,855,579.666,762.688,-36912.3
13800,58,870,582.599,766.547,-36911.2
13900,59,885,582.627,766.584,-36905.7
14000,60,900,585.809,770.771,-36904.8
14100,61,915,586.822,772.104,-36900.7
14200,62,930,587.076,772.438,-36895.4
14300,63,945,593.035,780.278,-36898.3
14400,64,960,590.954,777.54,-36889.7
14500,65,975,594.145,781.739,-36888.9
14600,66,990,596.378,784.677,-36886.4
14700,67,1005,596.901,785.365,-36881.6
14800,68,1020,601.65,791.614,-36882.8
14900,69,1035,599.613,788.933,-36874.2
15000,70,1050,603.68,794.284,-36874.5
15100,71,1065,603.983,794.683,-36869.5
15200,72,1080,606.529,798.033,-36867.5
15300,73,1095,609.192,801.537,-36865.8
15400,74,1110,609.767,802.294,-36861.1
15500,75,1125,611.442,804.497,-36857.8
15600,76,1140,614.601,808.654,-36856.8
15700,77,1155,614.549,808.585,-36851.4
15800,78,1170,616.864,811.632,-36848.8
15900,79,1185,618.493,813.775,-36846.1
16000,80,1200,617.881,812.97,-36839.3
16100,81,1215,622.338,818.834,-36840.1
16200,82,1230,624.431,821.588,-36837.5
16300,83,1245,624.017,821.042,-36831.3
16400,84,1260,627.644,825.815,-36831.1
16500,85,1275,626.675,824.539,-36824.1
16600,86,1290,632.215,831.829,-36826.3
16700,87,1305,630.978,830.201,-36819.1
16800,88,1320,633.915,834.066,-36817.7
16900,89,1335,637.057,838.199,-36816.7
17000,90,1350,633.7,833.783,-36806.4
17100,91,1365,641.511,844.06,-36811.8
17200,92,1380,639.473,841.379,-36803.5
17300,93,1395,643.308,846.425,-36803.2
17400,94,1410,646.227,850.265,-36801.9
17500,95,1425,643.29,846.401,-36792.3
17600,96,1440,648.006,852.606,-36793.4
17700,97,1455,650.314,855.643,-36791.1
17800,98,1470,649.698,854.832,-36784.9
17900,99,1485,653.902,860.364,-36785.5
18000,100,1500,653.528,859.872,-36779.3
18100,101,1515,654.351,860.954,-36775
18200,102,1530,657.609,865.241,-36774.3
18300,103,1545,657.188,864.687,-36768.1
18400,104,1560,661.698,870.621,-36769.1
18500,105,1575,660.318,868.805,-36761.6
18600,106,1590,666.238,876.595,-36764.4
18700,107,1605,664.448,874.239,-36756.3
18800,108,1620,665.32,875.386,-36752.1
18900,109,1635,669.282,880.599,-36752
19000,110,1650,670.875,882.695,-36748.8
19100,111,1665,670.72,882.492,-36743.2
19200,112,1680,675.328,888.554,-36744.1
19300,113,1695,677.288,891.134,-36741.1
19400,114,1710,675.56,888.859,-36733.5
19500,115,1725,680.998,896.015,-36735.5
19600,116,1740,679.623,894.205,-36727.9
19700,117,1755,683.058,898.726,-36727.4
19800,118,1770,683.916,899.855,-36723
19900,119,1785,684.53,900.662,-36718.5
20000,120,1800,689.397,907.066,-36719.7
20100,121,1815,686.82,903.675,-36710.5
20200,122,1830,689.286,906.92,-36708.7
20300,123,1845,692.795,911.536,-36708.1
20400,124,1860,692.002,910.493,-36701.2
20500,125,1875,694.718,914.066,-36700.1
20600,126,1890,695.076,914.538,-36694.8
20700,127,1905,697.14,917.254,-36692.3
20800,128,1920,699.553,920.429,-36690.2
20900,129,1935,699.023,919.731,-36683.7
21000,130,1950,702.367,924.131,-36683.1
21100,131,1965,703.679,925.857,-36679.5
21200,132,1980,703.47,925.581,-36673.7
21300,133,1995,709.162,933.072,-36675.9
21400,134,2010,706.605,929.707,-36666.9
21500,135,2025,711.601,936.28,-36668.5
21600,136,2040,709.729,933.817,-36660.4
21700,137,2055,710.886,935.339,-36656.6
21800,138,2070,714.197,939.695,-36655.7
21900,139,2085,716.634,942.903,-36653.8
22000,140,2100,717.708,944.315,-36649.3
22100,141,2115,722.588,950.736,-36651
22200,142,2130,717.059,943.461,-36637.4
22300,143,2145,723.497,951.932,-36641.2
22400,144,2160,723.689,952.185,-36635.9
22500,145,2175,725.747,954.893,-36633.5
22600,146,2190,729.455,959.771,-36633
22700,147,2205,727.26,956.883,-36624.6
22800,148,2220,730.558,961.222,-36623.8
22900,149,2235,727.966,957.813,-36614.8
23000,150,2250,733.834,965.533,-36617.2
23100,151,2265,730.603,961.281,-36607.5
23200,152,2280,732.226,963.418,-36604.2
23300,153,2295,733.358,964.907,-36600.5
23400,154,2310,734.677,966.642,-36596.7
23500,155,2325,742.682,977.175,-36602.3
23600,156,2340,737.54,970.409,-36589.5
23700,157,2355,747.058,982.933,-36597.4
23800,158,2370,745.032,980.266,-36589
23900,159,2385,747.511,983.529,-36587.2
24000,160,2400,745.339,980.67,-36578.9
24100,161,2415,747.608,983.657,-36576.4
24200,162,2430,752.408,989.972,-36577.6
24300,163,2445,751.055,988.192,-36570.4
24400,164,2460,753.644,991.598,-36568.3
24500,165,2475,756.918,995.906,-36567.6
24600,166,2490,753.876,991.903,-36557.9
24700,167,2505,760.279,1000.33,-36561.3
24800,168,2520,757.763,997.018,-36552.5
24900,169,2535,760.508,1000.63,-36550.9
25000,170,2550,761.633,1002.11,-36547
25100,171,2565,762.553,1003.32,-36543
25200,172,2580,762.123,1002.75,-36537
25300,173,2595,766.554,1008.58,-36537.5
25400,174,2610,765.739,1007.51,-36531
25500,175,2625,767.137,1009.35,-36527.4
25600,176,2640,770.943,1014.36,-36527.1
25700,177,2655,772.949,1017,-36524.5
25800,178,2670,771.7,1015.35,-36517.3
25900,179,2685,775.516,1020.38,-36517.1
26000,180,2700,773.824,1018.15,-36509.4
26100,181,2715,779.081,1025.07,-36511.3
26200,182,2730,776.743,1021.99,-36502.6
26300,183,2745,780.814,1027.35,-36502.9
26400,184,2760,781.147,1027.78,-36497.9
