#PARAMS:size=561,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,427.041,30.9668,-2001.25
2100,15,429.973,31.1794,-2001.19
2200,30,429.254,31.1273,-2000.84
2300,45,436.283,31.637,-2001.08
2400,60,436.505,31.6531,-2000.79
2500,75,436.463,31.6501,-2000.48
2600,90,440.674,31.9554,-2000.48
2700,105,436.361,31.6427,-1999.85
2800,120,447.37,32.441,-2000.39
2900,135,444.902,32.262,-1999.9
3000,150,447.654,32.4616,-1999.81
3100,165,445.7,32.3199,-1999.37
3200,180,452.896,32.8417,-1999.61
3300,195,451.561,32.7449,-1999.26
3400,210,455.992,33.0662,-1999.24
3500,225,451.63,32.7499,-1998.63
3600,240,452.706,32.8279,-1998.4
3700,255,456.677,33.1158,-1998.4
3800,270,456.681,33.1162,-1998.12
3900,285,460.61,33.4011,-1998.08
4000,300,467.346,33.8895,-1998.29
4100,315,462.79,33.5592,-1997.63
4200,330,467.288,33.8853,-1997.68
4300,345,463.778,33.6308,-1997.11
4400,360,474.661,34.42,-1997.6
4500,375,471.134,34.1642,-1997.07
4600,390,470.813,34.141,-1996.75
4700,405,477.247,34.6075,-1996.91
4800,420,477.256,34.6082,-1996.61
4900,435,477.801,34.6476,-1996.38
5000,450,478.844,34.7233,-1996.14
5100,465,480.064,34.8117,-1995.92
5200,480,483.323,35.0481,-1995.84
5300,495,491.064,35.6095,-1996.14
5400,510,489.924,35.5268,-1995.76
5500,525,491.94,35.673,-1995.62
5600,540,491.499,35.641,-1995.28
5700,555,490.463,35.5658,-1994.89
5800,570,496.087,35.9737,-1995.05
5900,585,495.605,35.9387,-1994.7
6000,600,494.169,35.8346,-1994.29
6100,615,503.568,36.5162,-1994.71
6200,630,503.733,36.5281,-1994.43
6300,645,502.461,36.4359,-1994.03
6400,660,505.673,36.6688,-1993.99
6500,675,510.952,37.0516,-1994.1
6600,690,508.925,36.9046,-1993.61
6700,705,512.847,37.189,-1993.64
6800,720,510.374,37.0097,-1993.1
6900,735,518.153,37.5738,-1993.39
7000,750,512.657,37.1753,-1992.72
7100,765,518.588,37.6054,-1992.84
7200,780,520.546,37.7473,-1992.71
7300,795,519.33,37.6591,-1992.32
7400,810,527.92,38.282,-1992.66
7500,825,530.697,38.4834,-1992.58
7600,840,527.287,38.2362,-1992.03
7700,855,522.387,37.8808,-1991.36
7800,870,534.042,38.7259,-1991.92
7900,885,530.456,38.4659,-1991.39
8000,900,535.544,38.8349,-1991.46
8100,915,541.696,39.281,-1991.62
8200,930,540.892,39.2227,-1991.25
8300,945,535.631,38.8412,-1990.58
8400,960,543.164,39.3875,-1990.84
8500,975,541.005,39.2309,-1990.4
8600,990,540.059,39.1623,-1990.01
8700,1005,545.042,39.5237,-1990.09
8800,1020,554.441,40.2052,-1990.49
8900,1035,545.882,39.5846,-1989.54
9000,1050,553.406,40.1301,-1989.8
9100,1065,554.697,40.2238,-1989.59
9200,1080,547.695,39.7161,-1988.75
9300,1095,560.554,40.6485,-1989.44
9400,1110,560.016,40.6095,-1989.11
9500,1125,558.333,40.4874,-1988.68
9600,1140,559.815,40.5949,-1988.47
9700,1155,554.832,40.2336,-1987.79
9800,1170,557.617,40.4355,-1987.66
9900,1185,560.069,40.6133,-1987.56
10000,1200,563.383,40.8536,-1987.55
10100,1215,567.352,41.1415,-1987.54
10200,1230,566.706,41.0946,-1987.15
10300,1245,570.337,41.3579,-1987.1
10400,1260,573.177,41.5638,-1987.04
10500,1275,566.44,41.0753,-1986.2
10600,1290,572.153,41.4896,-1986.36
10700,1305,576.809,41.8273,-1986.41
10800,1320,579.338,42.0106,-1986.32
10900,1335,577.093,41.8478,-1985.86
11000,1350,583.307,42.2984,-1986.01
11100,1365,575.275,41.716,-1985.12
11200,1380,590.982,42.855,-1985.96
11300,1395,579.193,42.0001,-1984.79
11400,1410,585.155,42.4325,-1984.93
11500,1425,580.769,42.1144,-1984.27
11600,1440,593.325,43.0249,-1984.93
