#PARAMS:size=14993,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,417.203,808.537,-54904.4
2100,15,412.431,799.289,-54885.7
2200,30,418.908,811.841,-54890.7
2300,45,421.684,817.222,-54888.8
2400,60,421.892,817.624,-54880.7
2500,75,422.47,818.746,-54874.4
2600,90,424.779,823.219,-54870.9
2700,105,425.698,825,-54865.6
2800,120,426.318,826.203,-54857.9
2900,135,427.877,829.224,-54854.4
3000,150,426.248,826.067,-54841.5
3100,165,435.162,843.342,-54854.3
3200,180,426.141,825.859,-54824.6
3300,195,439.616,851.974,-54848
3400,210,426.409,826.378,-54808.9
3500,225,444.115,860.692,-54841.7
3600,240,429.156,831.702,-54798.4
3700,255,446.957,866.2,-54831.4
3800,270,432.843,838.848,-54790
3900,285,449.634,871.388,-54820.8
4000,300,436.957,846.821,-54782.3
4100,315,452.414,876.777,-54809.9
4200,330,440.954,854.566,-54774.7
4300,345,455.401,882.566,-54799.9
4400,360,445.021,862.449,-54767.3
4500,375,458.045,887.689,-54789.2
4600,390,448.928,870.021,-54759.1
4700,405,462.663,896.639,-54782.4
4800,420,451.588,875.175,-54748.4
4900,435,466.043,903.19,-54773.1
5000,450,454.972,881.733,-54738.9
5100,465,470.252,911.346,-54765.4
5200,480,458.628,888.818,-54730.3
5300,495,473.03,916.73,-54754.8
5400,510,462.995,897.283,-54723.3
5500,525,475.414,921.35,-54743.4
5600,540,467.703,906.406,-54717
5700,555,478.951,928.204,-54734.2
5800,570,472.314,915.342,-54710.6
5900,585,481.316,932.788,-54722.9
6000,600,476.838,924.109,-54703.5
6100,615,484.699,939.344,-54713.4
6200,630,480.141,930.512,-54694.2
6300,645,488.55,946.807,-54705.3
6400,660,483.475,936.972,-54685
6500,675,491.873,953.248,-54695.9
6600,690,488.142,946.017,-54678.6
6700,705,496.266,961.761,-54688.5
6800,720,491.488,952.501,-54669.5
6900,735,498.401,965.899,-54676.6
7000,750,496.234,961.699,-54663.3
7100,765,501.594,972.087,-54666.9
7200,780,500.796,970.541,-54656.5
7300,795,505.082,978.847,-54658.1
7400,810,503.662,976.095,-54646.1
7500,825,508.831,986.113,-54649.4
7600,840,506.887,982.345,-54636.6
7700,855,513.896,995.927,-54643.8
7800,870,509.688,987.774,-54626.2
7900,885,516.4,1000.78,-54632.6
8000,900,514.362,996.83,-54619.5
8100,915,520.493,1008.71,-54624.7
8200,930,518.046,1003.97,-54611
8300,945,522.856,1013.29,-54613.2
8400,960,522.126,1011.88,-54603.1
8500,975,526.82,1020.97,-54605
8600,990,526.063,1019.51,-54595.1
8700,1005,529.257,1025.7,-54593.8
8800,1020,530.181,1027.49,-54587.5
8900,1035,531.8,1030.63,-54582.5
9000,1050,536.223,1039.2,-54583.8
9100,1065,534.147,1035.17,-54571
9200,1080,539.061,1044.7,-54573.4
9300,1095,538.726,1044.05,-54564.5
9400,1110,541.538,1049.5,-54562.4
9500,1125,544.37,1054.99,-54560
9600,1140,544.222,1054.7,-54551.6
9700,1155,547.012,1060.11,-54549.4
9800,1170,548.37,1062.74,-54543.9
9900,1185,550.536,1066.94,-54540.3
10000,1200,551.659,1069.11,-54534.5
10100,1215,554.679,1074.97,-54532.9
10200,1230,554.867,1075.33,-54525.1
10300,1245,557.334,1080.11,-54522.3
10400,1260,559.451,1084.21,-54518
10500,1275,561.721,1088.61,-54514.7
10600,1290,562.626,1090.37,-54508.4
10700,1305,565.831,1096.58,-54506.7
10800,1320,566.944,1098.74,-54500.9
10900,1335,568.805,1102.34,-54496.8
11000,1350,568.966,1102.65,-54488.9
11100,1365,573.038,1110.55,-54489.7
11200,1380,572.008,1108.55,-54479.1
11300,1395,576.774,1117.79,-54481
11400,1410,576.533,1117.32,-54472.1
11500,1425,579.051,1122.2,-54469.8
11600,1440,579.442,1122.96,-54461.9
11700,1455,581.897,1127.71,-54459.4
11800,1470,584.013,1131.81,-54455.3
11900,1485,586.049,1135.76,-54451.5
12000,1500,589.164,1141.8,-54449.9
12100,1515,588.929,1141.34,-54441.5
12200,1530,590.454,1144.3,-54436.5
12300,1545,592.71,1148.67,-54433.2
12400,1560,593.693,1150.57,-54427.1
12500,1575,598.061,1159.04,-54428.1
12600,1590,595.317,1153.72,-54414.1
12700,1605,601.582,1165.86,-54419.3
12800,1620,599.195,1161.24,-54405.8
12900,1635,603.748,1170.06,-54407.2
13000,1650,602.022,1166.72,-54395.4
13100,1665,607.625,1177.58,-54399
13200,1680,606.81,1176,-54388.9
13300,1695,609.119,1180.47,-54385.9
13400,1710,611.681,1185.43,-54382.8
13500,1725,612.634,1187.28,-54377
13600,1740,615.313,1192.47,-54374.1
13700,1755,616.503,1194.78,-54368.7
13800,1770,618.524,1198.7,-54364.7
13900,1785,618.701,1199.04,-54357
14000,1800,621.556,1204.57,-54355.2
14100,1815,621.996,1205.43,-54347.7
14200,1830,624.76,1210.78,-54345.5
14300,1845,627.577,1216.24,-54342.9
14400,1860,626.7,1214.54,-54332.8
14500,1875,630.889,1222.66,-54333.5
14600,1890,631.034,1222.94,-54325.6
14700,1905,633.439,1227.6,-54322.5
14800,1920,634.019,1228.73,-54315.5
14900,1935,637.123,1234.74,-54313.8
15000,1950,638.347,1237.11,-54308.2
15100,1965,641.507,1243.24,-54306.9
15200,1980,641.147,1242.54,-54297.7
15300,1995,643.711,1247.51,-54295.3
15400,2010,644.314,1248.68,-54288.2
15500,2025,648.947,1257.66,-54289.8
15600,2040,647.629,1255.1,-54279
15700,2055,651.07,1261.77,-54277.9
15800,2070,649.704,1259.12,-54267.2
15900,2085,654.599,1268.61,-54268.8
16000,2100,654.237,1267.91,-54260
16100,2115,657.498,1274.23,-54258.8
16200,2130,658.794,1276.74,-54253.3
16300,2145,661.865,1282.69,-54251.5
16400,2160,661.447,1281.88,-54242.6
16500,2175,665.302,1289.35,-54242.3
16600,2190,664.347,1287.5,-54232.8
16700,2205,666.322,1291.33,-54228.5
16800,2220,669.109,1296.73,-54226.3
16900,2235,668.975,1296.47,-54217.8
17000,2250,672.315,1302.94,-54216.8
17100,2265,673.281,1304.82,-54210.5
17200,2280,675.604,1309.32,-54207.4
17300,2295,675.698,1309.5,-54199.4
17400,2310,681.514,1320.77,-54203.3
17500,2325,678.162,1314.28,-54188.4
17600,2340,681.068,1319.91,-54186.5
17700,2355,682.12,1321.95,-54180.4
17800,2370,685.28,1328.07,-54179.1
17900,2385,686.358,1330.16,-54173.1
18000,2400,688.084,1333.5,-54168.5
18100,2415,688.633,1334.57,-54161.7
18200,2430,689.121,1335.51,-54154.5
18300,2445,692.884,1342.81,-54154.2
18400,2460,691.683,1340.48,-54143.5
18500,2475,695.897,1348.64,-54144.1
18600,2490,696.553,1349.92,-54137.2
18700,2505,699.032,1354.72,-54134.3
18800,2520,699.642,1355.9,-54127.2
18900,2535,703.362,1363.11,-54126.7
19000,2550,704.843,1365.98,-54121.9
19100,2565,705.404,1367.07,-54114.8
19200,2580,706.742,1369.66,-54109.6
19300,2595,709.045,1374.13,-54106.4
19400,2610,710.119,1376.21,-54100.5
19500,2625,712.921,1381.64,-54098.2
19600,2640,712.434,1380.69,-54089
19700,2655,716.387,1388.35,-54089
19800,2670,717.009,1389.56,-54082
19900,2685,718.981,1393.38,-54078.4
20000,2700,720.116,1395.58,-54072.1
20100,2715,723.114,1401.39,-54070.5
20200,2730,723.75,1402.62,-54063.7
20300,2745,727.563,1410.01,-54063.4
20400,2760,727.441,1409.78,-54055.4
20500,2775,729.319,1413.42,-54050.6
20600,2790,731.641,1417.92,-54047.5
20700,2805,729.975,1414.69,-54036.4
20800,2820,732.437,1419.46,-54033.3
20900,2835,732.128,1418.86,-54024.7
21000,2850,736.012,1426.39,-54024.5
21100,2865,735.032,1424.49,-54014.4
21200,2880,738.457,1431.13,-54013.6
21300,2895,739.04,1432.26,-54006.3
21400,2910,742.798,1439.54,-54006.1
21500,2925,742.808,1439.56,-53998.1
21600,2940,746.032,1445.81,-53996.5
21700,2955,748.106,1449.83,-53992.5
21800,2970,745.141,1444.08,-53978.7
21900,2985,751.324,1456.06,-53983.1
22000,3000,750.212,1453.91,-53972.6
22100,3015,753.281,1459.85,-53971.2
22200,3030,751.988,1457.35,-53960.3
22300,3045,754.876,1462.95,-53958.5
22400,3060,754.909,1463.01,-53950.4
22500,3075,760.241,1473.34,-53953.4
22600,3090,755.419,1464,-53935.2
22700,3105,763.377,1479.42,-53944
22800,3120,759.089,1471.11,-53926.6
22900,3135,765.73,1483.98,-53932.4
23000,3150,763.733,1480.11,-53919.8
23100,3165,767.838,1488.07,-53920.3
23200,3180,770.426,1493.08,-53917.1
23300,3195,770.675,1493.56,-53910
23400,3210,773.737,1499.5,-53908.4
23500,3225,774.639,1501.25,-53902
23600,3240,773.603,1499.24,-53892.1
23700,3255,775.059,1502.06,-53887
23800,3270,776.313,1504.49,-53881.2
23900,3285,778.485,1508.7,-53877.9
24000,3300,778.39,1508.52,-53869.7
24100,3315,782.9,1517.26,-53870.8
24200,3330,782.823,1517.11,-53862.4
24300,3345,787.535,1526.24,-53864.1
24400,3360,784.871,1521.08,-53850.7
24500,3375,788.127,1527.39,-53849.3
24600,3390,788.375,1527.87,-53842
24700,3405,789.122,1529.31,-53835.4
24800,3420,791.851,1534.6,-53833
24900,3435,791.694,1534.3,-53824.6
25000,3450,795.419,1541.52,-53824.1
25100,3465,796.372,1543.36,-53818.4
25200,3480,798.244,1546.99,-53814.2
25300,3495,798.734,1547.94,-53806.9
25400,3510,799.292,1549.02,-53800.3
25500,3525,799.737,1549.89,-53793.1
25600,3540,805.33,1560.73,-53796.3
25700,3555,801.093,1552.51,-53779.7
25800,3570,809.25,1568.32,-53788.3
25900,3585,804.524,1559.16,-53770.7
26000,3600,812.637,1574.89,-53779.1
26100,3615,805.662,1561.37,-53757.1
26200,3630,813.477,1576.51,-53765.1
26300,3645,812.361,1574.35,-53754.5
26400,3660,813.934,1577.4,-53750.1
26500,3675,811.678,1573.03,-53737.5
26600,3690,814.375,1578.25,-53735.2
26700,3705,812.21,1574.06,-53722.7
26800,3720,820.889,1590.88,-53732.2
26900,3735,816.659,1582.68,-53715.4
27000,3750,820.502,1590.13,-53715.9
27100,3765,818.542,1586.33,-53703.6
27200,3780,821.209,1591.5,-53701.2
27300,3795,822.734,1594.45,-53696.4
27400,3810,823.766,1596.45,-53690.4
27500,3825,823.04,1595.05,-53680.9
27600,3840,824.681,1598.23,-53676.7
27700,3855,823.333,1595.61,-53665.8
27800,3870,825.902,1600.59,-53662.9
27900,3885,825.351,1599.53,-53653.9
28000,3900,825.721,1600.24,-53646.8
28100,3915,824.959,1598.77,-53637.6
28200,3930,827.028,1602.78,-53633.6
28300,3945,828.401,1605.44,-53628.2
28400,3960,830.172,1608.87,-53624.1
28500,3975,826.387,1601.53,-53608.2
28600,3990,830.368,1609.25,-53609.1
28700,4005,828.493,1605.61,-53596.8
28800,4020,834.515,1617.29,-53601.3
28900,4035,833.825,1615.95,-53591.4
29000,4050,832.933,1614.22,-53582
29100,4065,835.392,1618.99,-53578.9
29200,4080,832.447,1613.28,-53565
29300,4095,838.323,1624.67,-53568.9
29400,4110,839.2,1626.36,-53562.4
29500,4125,840.04,1627.99,-53556.1
29600,4140,839.595,1627.13,-53547.4
29700,4155,838.133,1624.3,-53536.7
29800,4170,836.656,1621.44,-53525.9
29900,4185,839.096,1626.16,-53522.7
30000,4200,835.894,1619.96,-53508.5
30100,4215,842.419,1632.6,-53513.1
30200,4230,841.424,1630.68,-53503.3
30300,4245,845.043,1637.69,-53502.9
30400,4260,842.18,1632.14,-53489.1
30500,4275,845.604,1638.78,-53488.2
30600,4290,843.95,1635.57,-53476.8
30700,4305,846.873,1641.24,-53474.7
30800,4320,848.031,1643.48,-53469.1
30900,4335,847.215,1641.9,-53459.8
31000,4350,847.12,1641.71,-53451.4
31100,4365,850.436,1648.14,-53450.2
31200,4380,848.361,1644.12,-53438.1
31300,4395,848.213,1643.83,-53430
