#PARAMS:size=2869,delta_q=4
Step,Time,Average Temperature,Kinetic,Potential
2000,0,402.431,149.24,-10400.6
2100,15,412.367,152.925,-10403.4
2200,30,422.022,156.506,-10406.1
2300,45,426.779,158.27,-10406.7
2400,60,428.489,158.904,-10405.9
2500,75,426.475,158.157,-10403.3
2600,90,423.327,156.99,-10400.3
2700,105,420.395,155.902,-10397.3
2800,120,421.174,156.191,-10396.1
2900,135,425.07,157.636,-10396.1
3000,150,429.463,159.265,-10396.5
3100,165,435.899,161.652,-10397.6
3200,180,437.808,162.36,-10397
3300,195,439.717,163.068,-10396.2
3400,210,437.457,162.23,-10393.7
3500,225,438.402,162.58,-10392.2
3600,240,438.689,162.687,-10390.7
3700,255,439.189,162.872,-10389.4
3800,270,443.516,164.476,-10389.6
3900,285,445.336,165.151,-10388.9
4000,300,450.286,166.987,-10389.3
4100,315,452.386,167.766,-10388.5
4200,330,453.277,168.096,-10387.3
4300,345,453.326,168.115,-10385.7
4400,360,455.111,168.777,-10384.8
4500,375,456.205,169.182,-10383.7
4600,390,456.767,169.391,-10382.4
4700,405,459.761,170.501,-10382
4800,420,461.624,171.192,-10381.2
4900,435,463.677,171.953,-10380.5
5000,450,467.23,173.271,-10380.3
5100,465,469.783,174.218,-10379.8
5200,480,470.235,174.385,-10378.4
5300,495,471.224,174.752,-10377.3
5400,510,475.513,176.342,-10377.4
5500,525,476.183,176.591,-10376.1
5600,540,475.763,176.435,-10374.3
5700,555,477.955,177.248,-10373.6
5800,570,481.19,178.448,-10373.3
5900,585,482.185,178.817,-10372.2
6000,600,485.06,179.883,-10371.8
6100,615,486.525,180.426,-10370.8
6200,630,489.322,181.463,-10370.3
6300,645,492.914,182.796,-10370.2
6400,660,492.583,182.673,-10368.6
6500,675,495.041,183.584,-10368
6600,690,493.095,182.863,-10365.6
6700,705,498.054,184.702,-10366
6800,720,496.479,184.118,-10363.9
6900,735,500.357,185.556,-10363.8
7000,750,502.382,186.307,-10363.2
7100,765,504.157,186.965,-10362.4
7200,780,508.125,188.437,-10362.4
7300,795,507.95,188.372,-10360.9
7400,810,510.552,189.337,-10360.2
7500,825,512.223,189.956,-10359.4
7600,840,513.756,190.525,-10358.4
7700,855,515.481,191.165,-10357.5
7800,870,517.275,191.83,-10356.5
7900,885,515.26,191.082,-10354.2
8000,900,519.652,192.711,-10354.3
8100,915,524.183,194.392,-10354.6
8200,930,527.134,195.486,-10354.4
8300,945,528.363,195.942,-10353.3
8400,960,528.382,195.949,-10351.7
8500,975,527.46,195.607,-10349.8
8600,990,531.473,197.095,-10349.8
8700,1005,530.239,196.637,-10347.7
8800,1020,533.382,197.803,-10347.4
8900,1035,537.757,199.426,-10347.6
9000,1050,538.426,199.674,-10346.4
9100,1065,540.589,200.476,-10345.6
9200,1080,541.375,200.767,-10344.3
9300,1095,537.891,199.475,-10341.4
9400,1110,541.637,200.864,-10341.3
9500,1125,548.579,203.439,-10342.5
9600,1140,551.92,204.678,-10342.4
9700,1155,555.895,206.152,-10342.4
9800,1170,555.595,206.041,-10340.7
9900,1185,556.952,206.544,-10339.7
10000,1200,554.488,205.63,-10337.2
10100,1215,557.337,206.687,-10336.7
10200,1230,558.69,207.189,-10335.8
10300,1245,557.137,206.613,-10333.6
10400,1260,560.043,207.69,-10333.2
10500,1275,564.597,209.379,-10333.4
10600,1290,565.862,209.848,-10332.3
10700,1305,570.211,211.461,-10332.4
10800,1320,568.318,210.759,-10330.3
10900,1335,573.208,212.572,-10330.6
11000,1350,573.177,212.561,-10329
11100,1365,576.088,213.641,-10328.5
11200,1380,576.485,213.788,-10327.2
11300,1395,577.59,214.197,-10326
11400,1410,575.142,213.29,-10323.4
11500,1425,581.018,215.469,-10324.3
11600,1440,587.299,217.798,-10325.3
11700,1455,589.088,218.461,-10324.5
11800,1470,588.858,218.376,-10322.8
11900,1485,585.755,217.226,-10319.9
12000,1500,589.514,218.619,-10319.9
