#STRS:name=Cold & fast strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
0,0,-5881.924405,-5881.99707,0.07266448115,0.1843139428,0,0.00637656473
800,4000,-5876.750553,-5896.918894,20.16834142,51.15713301,0,0.0003338313137
1600,8000,-5878.558478,-5891.222715,12.66423762,32.12292348,0,0.002854886557
2400,12000,-5874.672799,-5898.712483,24.03968315,60.97681721,0,0.000928063773
3200,16000,-5875.009467,-5894.011104,19.00163693,48.19777927,0,0.003866609372
4000,20000,-5881.057829,-5892.986801,11.92897202,30.25791737,0,4.856335398e-05
4800,24000,-5878.079705,-5893.530641,15.45093572,39.19140188,0,0.002663745798
5600,28000,-5875.341455,-5897.797869,22.4564149,56.96084671,0,0.001266544673
6400,32000,-5878.417987,-5892.385419,13.96743154,35.42848359,0,0.002256213517
7200,36000,-5874.893407,-5898.155852,23.2624445,59.00534619,0,0.00161227339
8000,40000,-5875.431158,-5896.36243,20.93127191,53.09231129,0,0.001752086489
8800,44000,-5874.633507,-5897.137417,22.5039104,57.08131937,0,0.002629272484
9600,48000,-5876.88621,-5895.474574,18.58836419,47.14951018,0,0.001920116307
10400,52000,-5873.362989,-5895.598493,22.23550477,56.40050668,0.004159451654,0.002845457541
11200,56000,-5871.271607,-5890.954341,19.68273412,49.92538683,0.01247835496,0.003611924105
12000,60000,-5869.751554,-5882.961538,13.20998372,33.50721212,0.02079725827,0.003854799097
12800,64000,-5624.872704,-5650.885683,26.0129791,65.98209559,0.02911616158,0.003959402378
13600,68000,-5622.084697,-5645.948415,23.86371769,60.53047966,0.03743506489,0.002949553623
14400,72000,-5617.085159,-5638.496406,21.41124676,54.30977071,0.04575396819,0.005625560655
15200,76000,-5613.113882,-5633.067688,19.95380614,50.61296282,0.0540728715,0.004912149271
16000,80000,-5609.384886,-5628.59889,19.21400389,48.73644948,0.06239177481,0.003881362199
16800,84000,-5600.169177,-5634.536167,34.3669902,87.17210067,0.07071067812,0.003459843534
17600,88000,-5599.793712,-5634.348619,34.55490738,87.64875387,0.07902958143,0.001406769808
18400,92000,-5602.258803,-5640.955019,38.69621583,98.15321046,0.08734848474,0.003067690429
19200,96000,-5541.123322,-5580.869633,39.74631101,100.8167839,0.09566738804,0.002474554042
20000,100000,-5499.7495,-5543.779368,44.02986807,111.6820551,0.1039862914,0.002317971633
20800,104000,-5364.299962,-5409.786288,45.48632591,115.3763701,0.1123051947,0.002549452918
21600,108000,-5373.540982,-5421.09478,47.55379861,120.6205285,0.120624098,0.002261470046
22400,112000,-5231.140269,-5281.862641,50.72237125,128.6576342,0.1289430013,0.001846629911
23200,116000,-5014.013871,-5067.164901,53.15102964,134.8179424,0.1372619046,0.0006133633079
24000,120000,-4915.841802,-4969.038561,53.19675881,134.9339348,0.1455808079,0.0007088953997
24800,124000,-4823.415716,-4878.409399,54.99368254,139.4918438,0.1538997112,0.0003764503495
25600,128000,-4723.881382,-4779.286105,55.40472254,140.5344496,0.1622186145,0.0005763011164
26400,132000,-4664.02404,-4720.063594,56.03955357,142.1447027,0.1705375178,0.0007110033651
27200,136000,-4592.207862,-4649.330194,57.12233257,144.8911789,0.1788564211,0.0004454039306
28000,140000,-4524.710614,-4582.157211,57.44659692,145.7136776,0.1871753244,0.0001037067125
28800,144000,-4420.380277,-4478.876359,58.49608255,148.3757049,0.1954942277,-0.000148721991
29600,148000,-4359.217215,-4416.674788,57.45757374,145.7415204,0.203813131,0.0001347547211
30400,152000,-4276.647427,-4334.581038,57.93361058,146.948991,0.2121320344,0.0004214744919
31200,156000,-4217.421047,-4275.715023,58.29397602,147.8630604,0.2204509377,0.0001838112265
32000,160000,-4122.099376,-4179.383073,57.28369761,145.3004824,0.228769841,0.0002045437792
32800,164000,-4090.911822,-4149.479053,58.56723095,148.5561733,0.2370887443,0.0002760196853
33600,168000,-4003.289168,-4061.917209,58.62804115,148.7104188,0.2454076476,0.0001568409703
34400,172000,-3902.831653,-3961.649922,58.81826994,149.1929354,0.2537265509,-4.039789321e-05
35200,176000,-3862.672105,-3921.753583,59.08147854,149.8605658,0.2620454542,0.0001755530604
