#STRS:name=Cold & slow strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
0,0,-5881.924405,-5881.99707,0.07266448115,0.1843139428,0,0.00637656473
800,4000,-5876.750553,-5896.918894,20.16834142,51.15713301,0,0.0003338313137
1600,8000,-5878.558478,-5891.222715,12.66423762,32.12292348,0,0.002854886557
2400,12000,-5874.672799,-5898.712483,24.03968315,60.97681721,0,0.000928063773
3200,16000,-5875.009467,-5894.011104,19.00163693,48.19777927,0,0.003866609372
4000,20000,-5881.057829,-5892.986801,11.92897202,30.25791737,0,4.856335398e-05
4800,24000,-5878.079705,-5893.530641,15.45093572,39.19140188,0,0.002663745798
5600,28000,-5875.341455,-5897.797869,22.4564149,56.96084671,0,0.001266544673
6400,32000,-5878.417987,-5892.385419,13.96743154,35.42848359,0,0.002256213517
7200,36000,-5874.893407,-5898.155852,23.2624445,59.00534619,0,0.00161227339
8000,40000,-5875.431158,-5896.36243,20.93127191,53.09231129,0,0.001752086489
8800,44000,-5874.633507,-5897.137417,22.5039104,57.08131937,0,0.002629272484
9600,48000,-5876.88621,-5895.474574,18.58836419,47.14951018,0,0.001920116307
10400,52000,-5874.355804,-5896.497159,22.14135505,56.16169528,0.001386483885,0.002582318048
11200,56000,-5873.01939,-5895.98193,22.96253992,58.24463619,0.004159451654,0.002940388197
12000,60000,-5875.793682,-5888.888375,13.0946927,33.21477567,0.006932419423,0.003175858015
12800,64000,-5875.223711,-5890.372849,15.14913767,38.4258891,0.009705387193,0.002902112329
13600,68000,-5872.618522,-5890.322116,17.70359373,44.90528399,0.01247835496,0.002638678519
14400,72000,-5868.967837,-5890.570442,21.60260559,54.79515367,0.01525132273,0.002994902547
15200,76000,-5867.126733,-5891.267591,24.14085853,61.23344925,0.0180242905,0.003246874129
16000,80000,-5867.966044,-5886.543196,18.57715151,47.12106915,0.02079725827,0.003167610165
16800,84000,-5866.655354,-5886.70146,20.04610658,50.84708351,0.02357022604,0.004077457875
17600,88000,-5849.858921,-5867.525272,17.66635011,44.81081529,0.02634319381,0.004811317299
18400,92000,-5635.108986,-5653.549055,18.44006904,46.77335856,0.02911616158,0.004207328617
19200,96000,-5627.338106,-5645.003334,17.66522822,44.80796963,0.03188912935,0.00440690758
20000,100000,-5623.207768,-5645.624273,22.41650521,56.85961549,0.03466209712,0.003585043811
20800,104000,-5623.320677,-5643.30991,19.98923308,50.70282351,0.03743506489,0.004448172979
21600,108000,-5623.610428,-5641.88762,18.27719198,46.36021978,0.04020803266,0.003298044536
22400,112000,-5620.544476,-5638.807048,18.26257127,46.32313426,0.04298100042,0.005399535903
23200,116000,-5618.724271,-5635.318171,16.59390026,42.09053907,0.04575396819,0.004255991883
24000,120000,-5617.155977,-5636.354154,19.19817766,48.69630614,0.04852693596,0.004933234132
24800,124000,-5616.369251,-5635.321989,18.95273878,48.07374876,0.05129990373,0.004262939643
25600,128000,-5608.703194,-5633.722578,25.01938352,63.46183377,0.0540728715,0.00389400721
26400,132000,-5679.840032,-5710.160967,30.32093468,76.90925375,0.05684583927,0.001089109803
27200,136000,-5546.655303,-5581.366885,34.71158276,88.04616201,0.05961880704,0.002220576635
28000,140000,-5557.859552,-5593.040419,35.18086692,89.23650441,0.06239177481,0.002404022668
28800,144000,-5501.837292,-5537.444431,35.60713844,90.31774498,0.06516474258,0.002201945193
29600,148000,-5516.634628,-5553.424808,36.79018026,93.31853849,0.06793771035,0.002539634241
30400,152000,-5493.170954,-5530.368813,37.19785914,94.35261869,0.07071067812,0.002116069271
31200,156000,-5491.481465,-5528.905049,37.42358386,94.92517095,0.07348364589,0.002723500667
32000,160000,-5493.248885,-5529.861379,36.6124939,92.86783584,0.07625661366,0.002662139066
32800,164000,-5457.736386,-5494.452238,36.71585261,93.13000588,0.07902958143,0.002614375752
33600,168000,-5489.175937,-5525.353368,36.17743122,91.76429643,0.0818025492,0.002570364383
34400,172000,-5372.822603,-5409.193627,36.37102351,92.25534458,0.08457551696,0.002525655292
35200,176000,-5484.875686,-5521.332954,36.45726791,92.47410407,0.08734848473,0.002762033037
36000,180000,-5409.641181,-5446.763494,37.12231293,94.16099523,0.0901214525,0.002464032041
