#STRS:name=Hot & fast strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
0,0,-5866.926583,-5881.99707,15.07048671,38.22639042,0,0.00637656473
800,4000,-5838.133428,-5873.7601,35.6266721,90.36729223,0,0.0003348542293
1600,8000,-5774.228384,-5839.552369,65.32398511,165.6947255,0,0.002853207532
2400,12000,-5742.308959,-5830.575733,88.26677367,223.8892622,0,0.001541778447
3200,16000,-5630.980311,-5740.762597,109.7822868,278.4635054,0,0.001988652074
4000,20000,-5638.00193,-5789.098823,151.0968931,383.2582806,0,0.001389230039
4800,24000,-5591.325234,-5742.665578,151.3403441,383.8757957,0,0.0009056711804
5600,28000,-5619.023277,-5773.461971,154.4386931,391.7347788,0,0.001774422391
6400,32000,-5616.842954,-5774.462428,157.6194739,399.8028505,0,0.0009725627178
7200,36000,-5628.307654,-5788.08253,159.7748761,405.2700427,0,0.000873894275
8000,40000,-5625.256666,-5785.956358,160.6996921,407.6158445,0,0.001217896203
8800,44000,-5636.34172,-5794.98127,158.63955,402.3902805,0,0.001455116579
9600,48000,-5640.238438,-5797.97613,157.7376916,400.1027105,0,0.001309060534
10400,52000,-5646.175404,-5801.153994,154.9785902,393.1042313,0.004159451654,0.001426839493
11200,56000,-5595.811621,-5752.273672,156.4620511,396.8670398,0.01247835496,0.001880276115
12000,60000,-5543.235939,-5700.951832,157.7158931,400.0474184,0.02079725827,0.002895225879
12800,64000,-5428.339019,-5582.977863,154.6388435,392.2424617,0.02911616158,0.003007210504
13600,68000,-5399.149765,-5555.026105,155.8763397,395.381379,0.03743506489,0.003264978547
14400,72000,-5389.46138,-5549.098385,159.6370058,404.9203337,0.04575396819,0.002752135902
15200,76000,-5267.839356,-5428.993941,161.1545856,408.7696851,0.0540728715,0.002648824121
16000,80000,-5178.145883,-5343.887341,165.7414579,420.4043172,0.06239177481,0.002435706993
16800,84000,-4982.366777,-5146.51732,164.1505429,416.3689508,0.07071067812,0.001876191703
