#STRS:name=Hot & slow strain
Step,Time,Total Energy,Potential,Kinetic,Temperature,Strain,Stress
0,0,-5866.926583,-5881.99707,15.07048671,38.22639042,0,0.00637656473
1600,8000,-5774.228384,-5839.552369,65.32398511,165.6947255,0,0.002853207532
3200,16000,-5630.980311,-5740.762597,109.7822868,278.4635054,0,0.001988652074
4800,24000,-5591.325234,-5742.665578,151.3403441,383.8757957,0,0.0009056711804
6400,32000,-5616.842954,-5774.462428,157.6194739,399.8028505,0,0.0009725627178
8000,40000,-5625.256666,-5785.956358,160.6996921,407.6158445,0,0.001217896203
9600,48000,-5640.238438,-5797.97613,157.7376916,400.1027105,0,0.001309060534
11200,56000,-5641.320941,-5803.159701,161.8387608,410.5050999,0.004159451654,0.001261769778
12800,64000,-5633.109389,-5789.112836,156.0034471,395.7037878,0.009705387193,0.002190314638
14400,72000,-5606.744696,-5763.304401,156.559704,397.1147372,0.01525132273,0.002470208632
16000,80000,-5550.327153,-5705.65822,155.3310672,393.9982916,0.02079725827,0.002772127167
17600,88000,-5513.434259,-5668.601355,155.1670964,393.5823787,0.02634319381,0.003107010964
19200,96000,-5488.033498,-5643.94501,155.9115122,395.4705942,0.03188912935,0.003281556304
20800,104000,-5420.125336,-5576.012905,155.8875693,395.4098629,0.03743506489,0.002926566325
22400,112000,-5224.681649,-5387.968039,163.2863898,414.1770208,0.04298100042,0.002071601827
24000,120000,-5297.321823,-5460.639555,163.3177312,414.2565184,0.04852693596,0.002397029671
25600,128000,-5213.78805,-5373.05785,159.2698006,403.9889153,0.0540728715,0.00260260221
27200,136000,-5189.968407,-5349.675313,159.7069054,405.0976346,0.05961880704,0.002821250114
28800,144000,-5087.368721,-5251.647534,164.2788123,416.6943069,0.06516474258,0.001486014586
30400,152000,-5043.901115,-5211.533948,167.6328323,425.2018013,0.07071067812,0.002021733195
32000,160000,-4956.341994,-5125.05137,168.7093755,427.9324603,0.07625661366,0.001737227181
33600,168000,-4939.475849,-5104.354665,164.8788167,418.2162221,0.0818025492,0.001490982016
35200,176000,-4838.68723,-5006.209671,167.5224411,424.9217932,0.08734848473,0.001110202764
36800,184000,-4788.035962,-4957.511301,169.4753385,429.8753306,0.09289442027,0.001327174044
38400,192000,-4759.250434,-4928.095103,168.8446692,428.2756336,0.09844035581,0.001487726287
40000,200000,-4722.9778,-4896.420785,173.4429848,439.9392919,0.1039862913,0.001243170443
41600,208000,-4703.474204,-4875.37194,171.8977359,436.0197576,0.1095322269,0.001444648496
43200,216000,-4559.823566,-4731.845365,172.0217993,436.3344452,0.1150781624,0.0007493642791
44800,224000,-4521.420952,-4694.058813,172.6378607,437.8970891,0.120624098,0.0005903039477
46400,232000,-4498.912404,-4677.220072,178.3076687,452.278595,0.1261700335,0.0008076080058
48000,240000,-4440.054479,-4612.336909,172.2824301,436.9955372,0.131715969,0.001021935064
49600,248000,-4377.720581,-4553.026624,175.3060432,444.6649518,0.1372619046,0.000533372257
51200,256000,-4357.334975,-4533.9968,176.661825,448.1039015,0.1428078401,0.0007298465603
52800,264000,-4297.32161,-4470.811798,173.4901881,440.0590233,0.1483537757,0.0008981611608
54400,272000,-4251.159783,-4426.954746,175.7949629,445.9051001,0.1538997112,0.0004975409177
56000,280000,-4240.874238,-4416.557462,175.6832235,445.6216723,0.1594456467,0.0006100659662
57600,288000,-4136.95579,-4316.928682,179.9728916,456.5024443,0.1649915823,0.0004137506671
59200,296000,-4117.695811,-4294.608313,176.9125018,448.7397451,0.1705375178,0.0005730702949
60800,304000,-4056.213322,-4232.529887,176.3165647,447.2281465,0.1760834534,0.001038380703
62400,312000,-3954.813139,-4130.895969,176.0828294,446.6352754,0.1816293889,0.0003293254628
64000,320000,-3958.243471,-4138.013243,179.7697721,455.9872301,0.1871753244,0.0006792974612
65600,328000,-3908.966598,-4090.47911,181.512512,460.4077015,0.19272126,0.000192320231
67200,336000,-3896.195146,-4076.680867,180.4857211,457.8032395,0.1982671955,0.0006146930027
68800,344000,-3835.583762,-4016.06057,180.4768074,457.7806299,0.203813131,0.0004888012439
70400,352000,-3752.177112,-3929.740935,177.5638238,450.3918277,0.2093590666,4.947936818e-05
72000,360000,-3729.985772,-3913.747563,183.7617913,466.1130136,0.2149050021,0.0007889254776
