Step,Time,Total Energy,Potential,Kinetic,Temperature
0,0,-3340.058485,-3341.139294,1.080808973,9.059059095
100,300,-3364.799759,-3368.574673,3.774913725,31.64034289
200,600,-3359.558897,-3362.864806,3.305909312,27.70927015
300,900,-3353.882895,-3357.627923,3.745027878,31.38984751
400,1200,-3364.552532,-3368.194034,3.641501869,30.52211949
500,1500,-3358.82835,-3362.086211,3.257861687,27.30654748
600,1800,-3365.080765,-3368.752863,3.672098378,30.77857145
700,2100,-3358.434896,-3361.83539,3.400494311,28.50205695
800,2400,-3361.769549,-3365.61513,3.845581603,32.23266262
900,2700,-3360.119873,-3363.498773,3.378900678,28.32106475
1000,3000,-3363.839084,-3367.527143,3.68805931,30.91235182
1100,3300,-3359.947502,-3363.475019,3.527517344,29.56673091
1200,3600,-3360.632337,-3364.333258,3.700920923,31.02015451
1300,3900,-3362.912689,-3366.345703,3.433014126,28.77462957
1400,4200,-3361.121095,-3364.920524,3.799428711,31.84582111
1500,4500,-3361.636289,-3365.015229,3.378939604,28.32139102
1600,4800,-3360.969768,-3364.647298,3.677529066,30.82409006
1700,5100,-3362.015476,-3365.497785,3.482308757,29.18780431
1800,5400,-3362.619425,-3366.383403,3.763978243,31.54868453
1900,5700,-3360.459218,-3363.966439,3.507220811,29.39661066
2000,6000,-3363.930982,-3367.412364,3.481381758,29.18003445
2100,6300,-3359.599106,-3363.277742,3.678636596,30.83337309
2200,6600,-3362.920196,-3366.501881,3.581685548,30.02075467
2300,6900,-3361.867027,-3365.749636,3.882609046,32.543017
2400,7200,-3359.604256,-3363.107434,3.503177536,29.36272098
2500,7500,-3362.468103,-3366.161868,3.693764713,30.96017302
2600,7800,-3359.996921,-3363.527753,3.530832029,29.59451374
2700,8100,-3362.029131,-3365.501771,3.472640694,29.10676913
2800,8400,-3361.824755,-3365.478359,3.653603793,30.62355466
2900,8700,-3361.407924,-3364.801728,3.393804543,28.44598506
3000,9000,-3363.462553,-3367.105854,3.64330086,30.53719816
3100,9300,-3361.748376,-3365.317872,3.56949564,29.91858205
3200,9600,-3360.605251,-3363.970389,3.365138177,28.20571105
3300,9900,-3363.497623,-3367.179188,3.681565195,30.85791984
3400,10200,-3360.502626,-3364.159042,3.656416074,30.64712647
3500,10500,-3361.833767,-3365.381719,3.547951453,29.73800428
3600,10800,-3361.393186,-3365.06711,3.673923946,30.79387288
3700,11100,-3360.069235,-3363.336155,3.266919079,27.38246418
3800,11400,-3362.425901,-3365.965298,3.539397133,29.6663042
3900,11700,-3360.836563,-3364.36294,3.526376428,29.55716804
4000,12000,-3362.63484,-3365.911823,3.276982915,27.46681663
4100,12300,-3362.657155,-3366.283654,3.626499455,30.39637316
4200,12600,-3361.377266,-3364.935626,3.558359836,29.82524463
4300,12900,-3362.381835,-3365.880911,3.499076746,29.32834923
4400,13200,-3362.286178,-3365.729328,3.443150272,28.8595881
4500,13500,-3362.885645,-3366.42493,3.539284807,29.66536272
4600,13800,-3361.988237,-3365.681113,3.692875882,30.95272308
4700,14100,-3362.208758,-3365.849997,3.641238658,30.51991332
4800,14400,-3362.469455,-3366.097348,3.627892557,30.40804978
4900,14700,-3361.830876,-3365.612781,3.781905341,31.69894479
5000,15000,-3360.378337,-3364.099713,3.721376173,31.19160509
5100,15300,-3361.321409,-3365.113928,3.792518325,31.78790005
5200,15600,-3360.862857,-3365.455806,4.592949476,38.49690533
5300,15900,-3360.448058,-3364.206031,3.757972888,31.49834921
5400,16200,-3360.819936,-3365.292371,4.472434974,37.48678418
5500,16500,-3360.908451,-3365.525607,4.617156501,38.6998023
5600,16800,-3360.758859,-3365.254944,4.496084766,37.68501058
5700,17100,-3360.414058,-3364.40423,3.990172029,33.44458188
5800,17400,-3361.126864,-3365.659227,4.532362291,37.98907933
5900,17700,-3360.705291,-3364.25546,3.550168337,29.75658563
6000,18000,-3360.441664,-3365.486008,5.044343976,42.28037637
6100,18300,-3360.591305,-3365.164899,4.573593213,38.33466617
6200,18600,-3361.041211,-3364.53241,3.491199144,29.26232123
6300,18900,-3360.501553,-3365.340303,4.838750524,40.55714564
6400,19200,-3360.520111,-3364.803951,4.283839758,35.90602824
6500,19500,-3360.851967,-3365.921411,5.069444591,42.49076318
6600,19800,-3360.975267,-3365.104467,4.129199948,34.60987767
6700,20100,-3360.514319,-3364.377637,3.863317833,32.38132308
6800,20400,-3360.552085,-3365.217788,4.665703398,39.10670974
6900,20700,-3361.076955,-3366.288602,5.211647544,43.68267126
7000,21000,-3360.855132,-3365.097862,4.242729908,35.5614562
7100,21300,-3360.443885,-3365.175955,4.732069664,39.66297448
7200,21600,-3360.889507,-3365.521254,4.631747151,38.82209732
7300,21900,-3361.094124,-3364.833427,3.739302597,31.3418597
7400,22200,-3360.43604,-3365.398416,4.962376802,41.59334888
7500,22500,-3360.60526,-3365.293384,4.688124189,39.29463496
7600,22800,-3360.95078,-3365.536029,4.585248558,38.43235824
7700,23100,-3360.623261,-3364.89576,4.272498806,35.81097134
7800,23400,-3360.431208,-3364.570297,4.13908887,34.69276403
7900,23700,-3360.824718,-3365.337829,4.513111478,37.82772404
8000,24000,-3360.944484,-3363.922573,2.978088623,24.96156258
8100,24300,-3360.655098,-3364.47672,3.821621664,32.03183666
8200,24600,-3360.609972,-3363.199084,2.589112084,21.70126262
8300,24900,-3361.085479,-3364.88057,3.795091061,31.80946406
8400,25200,-3361.051621,-3364.364488,3.312866689,27.76758507
8500,25500,-3360.585236,-3364.259626,3.674390498,30.7977834
8600,25800,-3360.893923,-3364.590208,3.696284932,30.98129684
